Persona, Arcana, Curse, Electric, Fire, Ice, Item, Bless, Lv, Nuclear, Personality, Phys, Psi, Gun, Skills, Wind
Abaddon,Judgement,ab,-,-,-,Makarakarn,-,74,wk,ab,wk,ab,"Absorb Phys(79),Deathbound,Gigantomachia(80),Makarakarn,Spirit Drain,Survival Trick(77)",-                
Agathion,Chariot,-,rs,-,-,Zio,-,3,-,Timid,-,-,rs,"Baisudi,Dia,Dodge Electric(8),Lunge(4),Rakukaja(6),Zio",wk
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufula: 0,
            Dodge Fire: 29,
            Headbutt: 0,
            Mabufu: 0,
            Mabufula: 28,
            Null Nuclear: 26,
            Wage War: 27
        },
        st: 16,
        wind: -
    },
    Surt: {
        ag: 35,
        arcana: Magician,
        curse: -,        
        electric: -,
        en: 39,
        fire: ab,
        ice: wk,
        item: Fire Amp,
        bless: -,
        lu: 33,
        lvl: 59,
        ma: 40,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agidyne: 0,
            Fire Break: 0,
            High Counter: 61,
            Inferno: 64,
            Maragidyne: 60,
            Megaton Raid: 0
        },
        st: 37,
        wind: -
    },
    Suzaku: {
        ag: 18,
        arcana: Sun,
        curse: -,        
        electric: -,
        en: 10,
        fire: ab,
        ice: wk,
        item: Mafrei,
        bless: -,
        lu: 11,
        lvl: 19,
        ma: 14,
        nuclear: rs,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Frei: 0,
            Mafrei: 22,
            Marin Karin: 0,
            Matarunda: 24,
            Speed Master: 23,
            Tarunda: 0,
            Word of Calamity: 21
        },
        st: 11,
        wind: -
    },
    Take-Minakata: {
        ag: 18,
        arcana: Hanged Man,
        curse: rs,        
        electric: rp,
        en: 21,
        fire: -,
        ice: -,
        item: 雷の腕輪,
        bless: -,
        lu: 13,
        lvl: 29,
        ma: 22,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Assault Dive: 0,
            Defense Master: 32,
            Electric Boost: 34,
            Electric Break: 0,
            Mazionga: 30,
            Zionga: 0
        },
        st: 20,
        wind: -
    },
    Thanatos: {
        ag: 38,
        arcana: Death,
        curse: rp,        
        electric: -,
        en: 41,
        fire: -,
        ice: -,
        item: 黒き闇輪,
        bless: wk,
        lu: 31,
        lvl: 65,
        ma: 49,        
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Curse Amp: 66,
            Door of Hades: 0,
            Enduring Soul: 70,
            High Voltage: 69,
            Maeigaon: 0,
            Mamudoon: 0,
            One Shot Kill: 68
        },
        st: 43,
        wind: -
    },
    Thanatos Picaro: {
        ag: 40,
        arcana: Death,
        curse: rp,        
        electric: -,
        en: 43,
        fire: -,
        ice: -,
        item: Maeigaon,
        bless: wk,
        lu: 35,
        lvl: 69,
        ma: 51,        
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Adverse Resolve: 73,
            Door of Hades: 0,
            Enduring Soul: 74,
            Maeigaon: 0,
            Mamudoon: 0,
            Mudo Boost: 70,
            One Shot Kill: 72
        },
        st: 45,
        wind: -
    },
    Queen\u0027s Necklace: {
        ag: 15,
        arcana: Empress,
        curse: rs,        
        electric: rs,
        en: 15,
        fire: rs,
        ice: rs,
        item: 女王の首飾り,
        bless: rs,
        lu: 15,
        lvl: 15,
        ma: 15,
        nuclear: rs,
        phys: rs,
        Psi: rs,
        gun: wk,        
        skills: {
            Media: 0,
            Rakukaja: 0,
            Rakunda: 0,
            Recarm: 0,
            Sukukaja: 0,
            Sukunda: 0,
            Tarukaja: 0,
            Tarunda: 0
        },
        st: 15,
        wind: rs
    },
    Thor: {
        ag: 38,
        arcana: Chariot,
        curse: rs,        
        electric: ab,
        en: 43,
        fire: -,
        ice: -,
        item: ミョルニル,
        bless: rs,
        lu: 35,
        lvl: 64,
        ma: 39,
        nuclear: -,
        phys: rs,
        Psi: wk,
        gun: -,        
        skills: {
            Attack Master: 70,
            Electric Amp: 66,
            Heat Up: 68,
            High Counter: 0,
            Maziodyne: 67,
            Megaton Raid: 0,
            Ziodyne: 0
        },
        st: 44,
        wind: -
    },
    Thoth: {
        ag: 24,
        arcana: Emperor,
        curse: -,        
        electric: -,
        en: 21,
        fire: -,
        ice: -,
        item: Growth 2,
        bless: nu,
        lu: 21,
        lvl: 36,
        ma: 28,        
        nuclear: nu,
        personality: Gloomy,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Freila: 0,
            Growth 2: 42,
            Mafreila: 40,
            Masukunda: 0,
            Megido: 37,
            Taunt: 0,
            Psi Wall: 39
        },
        st: 21,
        wind: -
    },
    Throne: {
        ag: 46,
        arcana: Justice,
        curse: wk,        
        electric: -,
        en: 47,
        fire: ab,
        ice: -,
        item: Invigorate 3,
        bless: nu,
        lu: 36,
        lvl: 71,
        ma: 49,
        nuclear: rs,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Auto-Maraku: 76,
            Evade Curseness: 75,
            Hama Boost: 0,
            Invigorate 3: 0,
            Bless Amp: 74,
            Mahamaon: 0,
            Makougaon: 73
        },
        st: 42,
        wind: -
    },
    Titania: {
        ag: 38,
        arcana: Empress,
        curse: rs,        
        electric: -,
        en: 35,
        fire: -,
        ice: -,
        item: Mediarahan,
        bless: rs,
        lu: 30,
        lvl: 56,
        ma: 40,
        nuclear: rs,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Freidyne: 0,
            Lullaby: 0,
            Mafreidyne: 58,
            Makara Break: 0,
            Mediarahan: 61,
            Nuclear Amp: 60
        },
        st: 32,
        wind: -
    },
    Trumpeter: {
        ag: 38,
        arcana: Judgement,
        curse: nu,        
        electric: rp,
        en: 40,
        fire: -,
        ice: ab,
        item: Debilitate,
        bless: rp,
        lu: 31,
        lvl: 59,
        ma: 42,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Banishing Wave: 0,
            Brain Buster: 0,
            Cool Breeze: 64,
            Debilitate: 65,
            Mafreidyne: 0,
            Resist Ailment: 61,
            Weak Spot Aim: 62
        },
        st: 33,
        wind: -
    },
    Tsukiyomi: {
        ag: 37,
        arcana: Moon,
        curse: rp,        
        electric: -,
        en: 33,
        fire: -,
        ice: -,
        item: 黒い月,
        bless: rs,
        lu: 17,
        lvl: 50,
        ma: 32,        
        nuclear: wk,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Absorb Curse: 0,
            Arms Master: 56,
            Bloodsuck: 0,
            Curse Amp: 53,
            Purgatorial Wing: 0,
            Rainy Death: 0,
            Vorpal Blade: 55
        },
        st: 38,
        wind: -
    },
    Tsukiyomi Picaro: {
        ag: 40,
        arcana: Moon,
        curse: rp,        
        electric: -,
        en: 36,
        fire: -,
        ice: -,
        item: Spell Master,
        bless: rs,
        lu: 20,
        lvl: 55,
        ma: 35,        
        nuclear: wk,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Absorb Curse: 0,
            Curse Amp: 58,
            Purgatorial Wing: 0,
            Rainy Death: 0,
            Spell Master: 61,
            Spirit Drain: 0,
            Vorpal Blade: 60
        },
        st: 41,
        wind: -
    },
    Unicorn: {
        ag: 28,
        arcana: Hierophant,
        curse: wk,        
        electric: -,
        en: 25,
        fire: -,
        ice: nu,
        item: Samarecarm,
        bless: nu,
        lu: 24,
        lvl: 39,
        ma: 27,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Assault Dive: 0,
            Dekunda: 0,
            Hamaon: 44,
            Kouga: 43,
            Mahama: 0,
            Samarecarm: 41,
            Swift Strike: 42
        },
        st: 20,
        wind: -
    },
    Uriel: {
        ag: 55,
        arcana: Justice,
        curse: -,        
        electric: -,
        en: 49,
        fire: nu,
        ice: -,
        item: ヘヴンズゲイト,
        bless: rp,
        lu: 42,
        lvl: 81,
        ma: 54,
        nuclear: ab,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Angelic Grace: 85,
            Bloodbath: 0,
            Deathbound: 0,
            Megidolaon: 84,
            Rainy Death: 0,
            Repel Nuclear: 83,
            Spell Master: 86
        },
        st: 50,
        wind: -
    },
    Valkyrie: {
        ag: 29,
        arcana: Strength,
        curse: -,        
        electric: -,
        en: 28,
        fire: -,
        ice: -,
        item: Giant Slice,
        bless: nu,
        lu: 25,
        lvl: 44,
        ma: 24,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Attack Master: 45,
            Counterstrike: 0,
            Deathbound: 46,
            Dodge Physical: 49,
            Matarukaja: 47,
            Rising Slash: 0
        },
        st: 33,
        wind: -
    },
    Vasuki: {
        ag: 42,
        arcana: Hanged Man,
        curse: wk,        
        electric: nu,
        en: 45,
        fire: -,
        ice: nu,
        item: 九頭竜の豪砲,
        bless: -,
        lu: 37,
        lvl: 68,
        ma: 46,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Brain Jack: 0,
            Brainwash Boost: 72,
            Evade Wind: 70,
            Mahamaon: 0,
            Makarakarn: 73,
            Trigger Happy: 71,
            Triple Down: 0
        },
        st: 41,
        wind: -
    },
    Vishnu: {
        ag: 57,
        arcana: Fool,
        curse: nu,        
        electric: -,
        en: 49,
        fire: wk,
        ice: ab,
        item: Riot Gun,
        bless: nu,
        lu: 43,
        lvl: 83,
        ma: 51,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Ali Dance: 0,
            Magarudyne: 0,
            Megidolaon: 0,
            Power Charge: 86,
            Repel Fire: 87,
            Riot Gun: 90,
            Vacuum Wave: 85,
            Wind Amp: 88
        },
        st: 56,
        wind: -
    },
    White Rider: {
        ag: 26,
        arcana: Chariot,
        curse: rp,        
        electric: -,
        en: 25,
        fire: nu,
        ice: wk,
        item: Triple Down,
        bless: nu,
        lu: 25,
        lvl: 39,
        ma: 24,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Ailment Boost: 45,
            Devil Touch: 0,
            Foul Breath: 44,
            Maeiga: 42,
            Masukukaja: 43,
            Oni Kagura: 0,
            Sharpshooter: 41,
            Triple Down: 0
        },
        st: 24,
        wind: -
    },
    Yaksini: {
        ag: 16,
        arcana: Empress,
        curse: -,        
        electric: -,
        en: 13,
        fire: -,
        ice: rs,
        item: Vicious Strike,
        bless: -,
        lu: 13,
        lvl: 20,
        ma: 11,        
        nuclear: wk,
        personality: Irritable,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Attack Master: 23,
            Counter: 0,
            Hysterical Slap: 0,
            Oni Kagura: 22,
            Vicious Strike: 24,
            Wage War: 0
        },
        st: 14,
        wind: -
    },
    Yamata no Orochi: {
        ag: 36,
        arcana: Judgement,
        curse: rs,        
        electric: -,
        en: 48,
        fire: -,
        ice: nu,
        item: Oni Kagura,
        bless: -,
        lu: 33,
        lvl: 64,
        ma: 38,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Adverse Resolve: 67,
            Deathbound: 0,
            Mabufudyne: 0,
            Oni Kagura: 0,
            Repel Fire: 66,
            Unshaken Will: 69
        },
        st: 44,
        wind: -
    },
    Yatagarasu: {
        ag: 40,
        arcana: Sun,
        curse: wk,        
        electric: -,
        en: 30,
        fire: -,
        ice: -,
        item: 黒衣の衣,
        bless: nu,
        lu: 32,
        lvl: 57,
        ma: 41,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agidyne: 0,
            Dekunda: 0,
            Makara Break: 0,
            Mediarahan: 59,
            Null Wind: 62,
            Pressing Stance: 60,
            Wind Break: 61
        },
        st: 35,
        wind: rs
    },
    Yoshitsune: {
        ag: 53,
        arcana: Tower,
        curse: -,        
        electric: rp,
        en: 45,
        fire: rs,
        ice: -,
        item: 薄緑,
        bless: rp,
        lu: 41,
        lvl: 79,
        ma: 47,
        nuclear: -,
        phys: nu,
        Psi: -,
        gun: -,        
        skills: {
            Brave Blade: 0,
            Electric Amp: 84,
            Fast Heal: 82,
            Hassou Tobi: 86,
            Power Charge: 0,
            Pressing Stance: 81,
            Ziodyne: 0
        },
        st: 58,
        wind: -
    },
    Yurlungur: {
        ag: 27,
        arcana: Sun,
        curse: -,        
        electric: nu,
        en: 28,
        fire: -,
        ice: -,
        item: ミルリアナ,
        bless: rs,
        lu: 23,
        lvl: 42,
        ma: 29,
        nuclear: -,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Brain Jack: 0,
            Electric Boost: 48,
            Electric Break: 45,
            Mazionga: 0,
            Megido: 0,
            Revolution: 44,
            Tetra Break: 47
        },
        st: 26,
        wind: -
    },
    Zaou-Gongen: {
        ag: 56,
        arcana: Strength,
        curse: nu,        
        electric: wk,
        en: 50,
        fire: rp,
        ice: -,
        item: God\u0027s Hand,
        bless: nu,
        lu: 39,
        lvl: 80,
        ma: 45,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Banishing Wave: 0,
            Enduring Soul: 83,
            Evade Physical: 82,
            God\u0027s Hand: 0,
            Incineration: 86,
            Maragidyne: 0,
            Weak Spot Aim: 84
        },
        st: 57,
        wind: -
    },
    Zouchouten: {
        ag: 18,
        arcana: Strength,
        curse: -,        
        electric: -,
        en: 24,
        fire: -,
        ice: -,
        item: Sharp Student,
        bless: -,
        lu: 17,
        lvl: 31,
        ma: 19,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Attack Master: 36,
            Sharp Student: 33,
            Giant Slice: 0,
            Resist Fear: 34,
            Swift Strike: 35,
            Terror Claw: 32,
            Zionga: 0
        },
        st: 22,
        wind: wk
    }
}
